TOUCHPOINT_DATETIME;RESPONSE_DATE;CHURNED_SINCE_FEEDBACK;CUSTOMERM_LEGS_ENUM;FIX_VOICE_PRODUCT_YN;FIX_BB_PRODUCT_YN;MOBILE_PRODUCT_YN;TV_PRODUCT_YN;RELATIONSHIP_NPS;CUSTOMER_AGE_CATEGOR_ENUM;OPEN_COMMENT_CMT
12.11.2023 01:11;18.11.2023 16:46;no;MOBILE ONLY;No;No;Yes;No;8;65-74;"Ich habe seit mehreren Jahren für meine Frau und mich(ich war schon bei den Vorgängerfirmen von Magenta Kunde) jeweils einen Vertrag laufen. Da es günstigere Tarife mit mehr Leistung gibt, habe ich versucht über die Smartphone-App bzw. mit dem Notebook über die Webseite einen Tarifwechsel  ""only sim"" bzw. ""Family"" durchzuführen ohne hohe ""Tarifänderungsgebühren"" zahlen zu müssen. In der App kam der Hinweis ""aktuell kein Angebot verfügbar"" und auf der Webseite kam ich nur bis zur Möglichkeit die Zusatzfunktionen zu ändern. Vor einem Besuch im Shop hat mich bisher der Umstand abgehalten, dass angeblich nur online die Tarifwechselgebühr nicht verrechnet wird. Obwohl ich grundsätzlich mit Magenta zufrieden bin, überlege ich auf einen Alternativanbieter (Spusu; Hot oder Yesss umzusteigen. Jedenfalls möchte ich weniger als die bisher 63,38 Euro bezahlen"
12.11.2023 01:11;17.11.2023 08:40;no;FIXED ONLY;Yes;Yes;No;Yes;3;65-74;"Die TV Box ist eine Zumutung. Fehlermeldungen wie ""geht gerade nicht, versuchen Sie es später"" oder ""zu viele Teilnehmer gleichzeitig"" (bei ganz sicher nur 1 Teilnehmer) oder ""da hat etwas nicht geklappt"" etc. zermürben"
12.11.2023 01:11;17.11.2023 08:24;no;MOBILE ONLY;No;No;Yes;No;4;45-54;Ich wollte den Vertrag verlängern. Die Angebote dafür sind nicht ausreichend.
12.11.2023 01:11;13.11.2023 08:20;no;MOBILE ONLY;No;No;Yes;No;8;55-64;im Ausland, zB Italien ist die Verbindung zT katastrophal!!
12.11.2023 01:11;13.11.2023 20:21;no;MOBILE ONLY;No;No;Yes;No;9;55-64;In manchen nicht so stark besiedelten Gebieten würde ich mir eine stärkere Netzabdeckung wünschen. Mit allen anderen Details bin ich sehr zufrieden.
12.11.2023 01:11;17.11.2023 16:27;no;MOBILE ONLY;No;No;Yes;No;0;55-64;"Endlich, will sämtliche Rechnungen, Schriftlich haben, ihr macht es nicht!!!!!!
Aber schnell mit Mahnungen!!!¿¿
Und mehr Kosten !!!!
Haltet Eich aber nicht an das, was euer Support verspricht, !"
12.11.2023 01:11;13.11.2023 12:51;no;CONVERGED;No;Yes;Yes;No;9;45-54;ZTE Router muss regelmäßig neu gebootet werden, regelmäßig 1-2 Min. keine Verbindnung.
12.11.2023 01:11;13.11.2023 13:18;no;FIXED ONLY;Yes;Yes;No;Yes;5;;Bitte stellt wieder auf die alte TV-Box um.
12.11.2023 01:11;17.11.2023 10:39;no;MOBILE ONLY;No;No;Yes;No;9;75+;ich bin zufrieden
12.11.2023 01:11;13.11.2023 16:27;no;MOBILE ONLY;No;No;Yes;No;8;55-64;Schweiz ¿¿¿¿ leider zu teuer!!!! Auch die Zusatzpakete unverschämt
